,T_outside,Q_internal,Q_hvac,Q_hvac_heat,Q_solar,T_room,m_dot,T_dis,P_chiller,P_fan
50,12.0,2.6774670766629387,-5.866003997283643,0.0,0.0,19.763721642264702,0.8110006127553587,12.686096309885553,0.0,0.0
51,12.0,2.6774670766629387,-5.833515802635976,0.0,0.0,19.72505442077848,0.8110006127553587,12.686097353504211,0.0,0.0
52,12.0,2.6774670766629387,-5.794799458066276,0.0,0.0,19.678844099861962,0.8110006127553587,12.686098396912293,0.0,0.0
53,12.0,2.6774670766629387,-5.766279474623967,0.0,0.0,19.644910208581983,0.8110006127553587,12.686099440109858,0.0,0.0
54,12.0,2.6774670766629387,-5.7489723524374945,0.0,0.0,19.624484404329593,0.8110006127553587,12.686100483096993,0.0,0.0
55,12.0,2.6774670766629387,-5.73742345926956,0.0,0.0,19.61098808335259,0.8110006127553587,12.686101525873745,0.0,0.0
56,12.0,2.6774670766629387,-5.727666655733774,0.0,0.15145032222160315,19.599636682121748,0.8110006127553587,12.686102568440173,0.0,0.0
57,12.0,2.6774670766629387,-5.7180950267917705,0.0,0.20620777447472638,19.58849172457622,0.8110006127553587,12.686103610796355,0.0,0.0
58,12.0,2.6744195537044253,-5.708429519404648,0.0,0.26271314062599777,19.57721703694357,0.8110006127553587,12.686104652942344,0.0,0.0
59,12.0,2.6744195537044253,-5.698950529250577,0.0,0.3210972577456087,19.566151710058893,0.8110006127553587,12.686105694878211,0.0,0.0
60,12.083333333333336,3.8801863192866963,-3.8198898077373475,14.235079726213463,0.3814477988086117,20.082309187145846,1.9007467076237086,15.915258874352455,0.0,0.483932528292716
61,12.166666666666664,3.863866206899119,-3.289048388812698,3.493834893901786,0.4438210162721089,20.112140560967575,3.0441422310476325,16.305953677954818,0.0,0.9916896004168964
62,12.25,3.8613025534863357,-2.4599768779214237,2.616679596811419,0.5082542085937755,20.08564294333754,4.129031756742063,17.33935524123507,0.08111620468805969,1.4734654320164735
63,12.333333333333332,3.862680018189228,-2.1594952291629905,0.8475640265065223,0.5747730460925228,20.079478053096018,3.000205940839899,16.010957146250586,0.12406524198018913,0.9721784499717098
64,12.416666666666664,3.862677349352048,-3.3551485727560846,0.8301336105095897,0.9947983724666534,20.07298265974476,3.000205940839899,15.907362542521435,0.16715430785575527,0.9721784499717098
65,12.5,3.86242258348727,-2.7797296501022752,0.689465509885612,1.6469861455267067,20.07705154504798,4.129031756742063,16.91610284924693,0.21039808768874818,1.4734654320164735
66,12.583333333333336,3.860854596160074,-3.233042122812028,0.6655694641226421,1.9166675854984203,20.078162592934234,3.000205940839899,15.89336627425866,0.2537969589936676,0.9721784499717098
67,12.666666666666664,3.8608198355794796,-2.7853266234982086,0.6527665770939503,2.1645939836412507,20.085681502009184,4.129031756742063,16.912540110328248,0.29735128436954195,1.4734654320164735
68,12.75,3.8606016125531335,-3.323099299698737,0.07578407315581173,2.3965833668444283,20.10868332454291,3.000205940839899,15.751294137050055,0.34104287509737286,0.9721784499717098
69,12.833333333333336,3.8596339372688444,-3.3769229884851346,0.06670515648826587,2.6166529559965643,20.144680445838162,3.000205940839899,15.743237148557139,0.3849090752057828,0.9721784499717098
70,12.916666666666664,3.8585654842765322,-3.401773701504821,0.061747245276360004,2.8577133022477716,20.167734055474217,3.000205940839899,15.73996669190646,0.4289316481556662,0.9721784499717098
71,13.0,3.8579516855835276,-3.4121751759526586,0.057026766734853476,3.06430472383195,20.184379204325797,3.000205940839899,15.738066374999482,0.4731292870282269,0.9721784499717098
72,13.166666666666664,4.700636496327488,-3.8461902902429426,25.782828438634187,3.2672526054824336,21.001724089822908,2.1196351274451355,17.75186654536518,0.5561970755020575,0.5811361126111139
73,13.333333333333336,4.644317211017678,-6.970891103978753,0.0,3.562934568280824,21.195394463431203,0.8110006127553587,12.777969355433777,0.6380733028400511,0.0
74,13.5,4.641682712098626,-1.937876310194846,6.797336273048832,3.8589362385456267,21.103463542288175,2.693034528306608,17.106514068776978,0.7188392443334548,0.8357703095925159
75,13.666666666666668,4.647941790370145,-0.8416113159332889,5.528888099063167,4.139698307319794,21.10362956071334,4.7006492359864565,19.29643695927596,0.7983992419637238,1.727308316381631
76,13.833333333333332,4.646791651349619,-0.7962499872460196,4.47443783818093,4.406850854051829,21.118033282866826,4.846249103157159,19.76919160037276,0.8767886061680992,1.791966049197378
77,14.0,4.645736613331602,-1.1509355213337844,4.180419503731998,4.661806822751394,21.132151148053012,4.284837120876484,18.56734548212255,1.0053682229362317,1.5381231648322204
78,14.166666666666664,4.644989267135059,-1.4518928087942418,3.9311387175900845,4.83534065895242,21.132805653489125,4.416473157715469,18.830367455205288,1.2050084253188278,1.5847995995743787
79,14.333333333333336,4.645080173635899,-1.6142873809063703,3.647961885222006,5.032253837469761,21.13316483368045,4.4680923889824715,19.01088139331785,1.340970184381867,1.6027808976479676
80,14.5,4.645027293536556,-1.9014069796791628,3.4626352957321624,5.065986557571307,21.133019294521574,4.188355026872642,17.81866070207479,1.4622355681300345,1.4734654320164735
