,T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
10557.0,18.96666666666667,24.530000000000012,29.5099456740915,6.492696895979965,35.3014255402572,0.0,-35.3014255402572,29.5099456740915,-28.808728644277235, 08/22  07:58:00
10558.0,18.983333333333334,24.53000000000001,29.561641221012437,6.492696895979965,35.39896438405283,0.0,-35.39896438405283,29.561641221012437,-28.906267488072867, 08/22  07:59:00
10559.0,19.0,24.53000000000001,29.6120921014909,6.492696895979965,35.49572782430683,0.0,-35.49572782430683,29.6120921014909,-29.00303092832687, 08/22  08:00:00
10560.0,19.05,24.53000000000001,29.66129510353699,7.951670308485054,37.54823538515831,0.0,-37.54823538515831,29.66129510353699,-29.59656507667325, 08/22  08:01:00
10561.0,19.1,24.53000000000001,29.7092467260723,7.951670308485054,37.83822007672863,0.0,-37.83822007672863,29.7092467260723,-29.886549768243576, 08/22  08:02:00
10562.0,19.150000000000006,24.53000000000001,29.755943181718305,7.951670308485054,37.98167386027491,0.0,-37.98167386027491,29.755943181718305,-30.030003551789854, 08/22  08:03:00
10563.0,19.2,24.53000000000001,29.801380399283524,7.951670308485054,38.123058264992146,0.0,-38.123058264992146,29.801380399283524,-30.17138795650709, 08/22  08:04:00
10564.0,19.25,24.530000000000012,29.845554025979567,7.951670308485054,38.25962183418957,0.0,-38.25962183418957,29.845554025979567,-30.307951525704517, 08/22  08:05:00
10565.0,19.3,24.53000000000001,29.888459429396395,7.951670308485054,38.3932713537237,0.0,-38.3932713537237,29.888459429396395,-30.44160104523864, 08/22  08:06:00
10566.0,19.35,24.53000000000001,29.93009169926511,7.951670308485054,38.52489161906037,0.0,-38.52489161906037,29.93009169926511,-30.573221310575313, 08/22  08:07:00
10567.0,19.400000000000006,24.53000000000001,29.970445649036442,7.951670308485054,38.65076922666558,0.0,-38.65076922666558,29.970445649036442,-30.699098918180525, 08/22  08:08:00
10568.0,19.45,24.53000000000001,30.0095158173022,7.951670308485054,38.773851385016606,0.0,-38.773851385016606,30.0095158173022,-30.82218107653155, 08/22  08:09:00
10569.0,19.5,24.53000000000001,30.04729646908604,7.951670308485054,38.8955642607724,0.0,-38.8955642607724,30.04729646908604,-30.943893952287347, 08/22  08:10:00
10570.0,19.55,24.53000000000001,30.083781597029503,7.951670308485054,39.01604491461401,0.0,-39.01604491461401,30.083781597029503,-31.06437460612895, 08/22  08:11:00
10571.0,19.6,24.53000000000001,30.118964922498378,7.951670308485054,39.135354816609336,0.0,-39.135354816609336,30.118964922498378,-31.18368450812428, 08/22  08:12:00
10572.0,19.65,24.530000000000012,30.152839896633687,7.951670308485054,39.253537831684795,0.0,-39.253537831684795,30.152839896633687,-31.30186752319974, 08/22  08:13:00
10573.0,19.7,24.53000000000001,30.185399701371658,7.951670308485054,39.368340835158605,0.0,-39.368340835158605,30.185399701371658,-31.41667052667355, 08/22  08:14:00
10574.0,19.75,24.53000000000001,30.216637250455584,7.951670308485054,39.48124689913633,0.0,-39.48124689913633,30.216637250455584,-31.529576590651274, 08/22  08:15:00
10575.0,19.8,24.530000000000012,30.24654519046254,7.951670308485054,39.59303044966276,0.0,-39.59303044966276,30.24654519046254,-31.641360141177707, 08/22  08:16:00
10576.0,19.85,24.530000000000012,30.275115901867142,7.951670308485054,39.70362351102187,0.0,-39.70362351102187,30.275115901867142,-31.75195320253681, 08/22  08:17:00
10577.0,19.9,24.53000000000001,30.302341500164236,7.951670308485054,39.8130786940911,0.0,-39.8130786940911,30.302341500164236,-31.86140838560604, 08/22  08:18:00
10578.0,19.950000000000003,24.53000000000001,30.328213837071345,7.951670308485054,39.92143799306123,0.0,-39.92143799306123,30.328213837071345,-31.969767684576176, 08/22  08:19:00
10579.0,20.0,24.53000000000001,30.352724501831986,7.951670308485054,40.02704121123739,0.0,-40.02704121123739,30.352724501831986,-32.07537090275233, 08/22  08:20:00
10580.0,20.05,24.530000000000012,30.37586482264004,7.951670308485054,40.130974396368835,0.0,-40.130974396368835,30.37586482264004,-32.17930408788378, 08/22  08:21:00
10581.0,20.1,24.53000000000001,30.397625868204354,7.951670308485054,40.23380673339927,0.0,-40.23380673339927,30.397625868204354,-32.28213642491421, 08/22  08:22:00
10582.0,20.15,24.53000000000001,30.417998449473938,7.951670308485054,40.33553992296512,0.0,-40.33553992296512,30.417998449473938,-32.38386961448006, 08/22  08:23:00
10583.0,20.200000000000003,24.53000000000001,30.436973121541286,7.951670308485054,40.436106779691166,0.0,-40.436106779691166,30.436973121541286,-32.48443647120611, 08/22  08:24:00
10584.0,20.25,24.530000000000012,30.45454018574319,7.951670308485054,40.5355682837138,0.0,-40.5355682837138,30.45454018574319,-32.583897975228744, 08/22  08:25:00
10585.0,20.3,24.53000000000001,30.470689691976172,7.951670308485054,40.63259178112802,0.0,-40.63259178112802,30.470689691976172,-32.680921472642964, 08/22  08:26:00
10586.0,20.35,24.530000000000012,30.485411441244338,7.951670308485054,40.7280623848186,0.0,-40.7280623848186,30.485411441244338,-32.77639207633354, 08/22  08:27:00
10587.0,20.4,24.53000000000001,30.498694988456208,7.951670308485054,40.822445463514335,0.0,-40.822445463514335,30.498694988456208,-32.87077515502928, 08/22  08:28:00
10588.0,20.45,24.53000000000001,30.510529645487193,7.951670308485054,40.91574159120851,0.0,-40.91574159120851,30.510529645487193,-32.96407128272345, 08/22  08:29:00
10589.0,20.5,24.53000000000001,30.52090448452351,7.951670308485054,41.00795302340728,0.0,-41.00795302340728,30.52090448452351,-33.056282714922226, 08/22  08:30:00
10590.0,20.55,24.53000000000001,30.430981814605477,7.951670308485054,41.06269530741788,0.0,-41.06269530741788,30.430981814605477,-33.11102499893283, 08/22  08:31:00
10591.0,20.6,24.53000000000001,30.340347417953023,7.951670308485054,41.107039061647235,0.0,-41.107039061647235,30.340347417953023,-33.15536875316218, 08/22  08:32:00
10592.0,20.65,24.530000000000012,30.248997376413488,7.951670308485054,41.14934027842654,0.0,-41.14934027842654,30.248997376413488,-33.19766996994149, 08/22  08:33:00
10593.0,20.700000000000003,24.53000000000001,30.156927678461884,7.951670308485054,41.19016889080104,0.0,-41.19016889080104,30.156927678461884,-33.238498582315984, 08/22  08:34:00
10594.0,20.75,24.530000000000005,30.064134224711335,7.951670308485054,41.22979303514657,0.0,-41.22979303514657,30.064134224711335,-33.278122726661515, 08/22  08:35:00
10595.0,20.8,24.53000000000001,29.970612833697537,7.951670308485054,41.2682848289612,0.0,-41.2682848289612,29.970612833697537,-33.31661452047614, 08/22  08:36:00
10596.0,20.85,24.53000000000001,29.87635924793616,7.951670308485054,41.305716856755176,0.0,-41.305716856755176,29.87635924793616,-33.35404654827012, 08/22  08:37:00
10597.0,20.9,24.530000000000012,29.781369140251844,7.951670308485054,41.339545288236394,0.0,-41.339545288236394,29.781369140251844,-33.38787497975134, 08/22  08:38:00
10598.0,20.95,24.53000000000001,29.685638120376684,7.951670308485054,41.37149980009544,0.0,-41.37149980009544,29.685638120376684,-33.419829491610386, 08/22  08:39:00
10599.0,21.0,24.53000000000001,29.58916174181651,7.951670308485054,41.40241161916276,0.0,-41.40241161916276,29.58916174181651,-33.45074131067771, 08/22  08:40:00
10600.0,21.05,24.53000000000001,29.491935508981772,7.951670308485054,41.4323150643712,0.0,-41.4323150643712,29.491935508981772,-33.480644755886146, 08/22  08:41:00
10601.0,21.1,24.530000000000012,29.39395488458068,7.951670308485054,41.46121466469863,0.0,-41.46121466469863,29.39395488458068,-33.509544356213574, 08/22  08:42:00
10602.0,21.15,24.53000000000001,29.295215297270776,7.951670308485054,41.48914746158644,0.0,-41.48914746158644,29.295215297270776,-33.537477153101385, 08/22  08:43:00
10603.0,21.2,24.530000000000012,29.195712149565516,7.951670308485054,41.5142718842593,0.0,-41.5142718842593,29.195712149565516,-33.562601575774245, 08/22  08:44:00
10604.0,21.25,24.530000000000012,29.095440825991506,7.951670308485054,41.53763648338296,0.0,-41.53763648338296,29.095440825991506,-33.585966174897905, 08/22  08:45:00
10605.0,21.3,24.53000000000001,28.994396701492104,7.951670308485054,41.55997599001567,0.0,-41.55997599001567,28.994396701492104,-33.60830568153062, 08/22  08:46:00
10606.0,21.35,24.53000000000001,28.892575150072133,7.951670308485054,41.58137940086249,0.0,-41.58137940086249,28.892575150072133,-33.62970909237743, 08/22  08:47:00
10607.0,21.4,24.53000000000001,28.789971553678907,7.951670308485054,41.60184626904939,0.0,-41.60184626904939,28.789971553678907,-33.65017596056433, 08/22  08:48:00
10608.0,21.45,24.530000000000012,28.68658131131331,7.951670308485055,41.62140905429494,0.0,-41.62140905429494,28.68658131131331,-33.66973874580989, 08/22  08:49:00
10609.0,21.5,24.530000000000012,28.582399848365185,7.951670308485054,41.6384862759347,0.0,-41.6384862759347,28.582399848365185,-33.68681596744965, 08/22  08:50:00
